"SongID","album","duration","release_year","s3_key","title"
"154","Red (Taylor's Version)","219","2021","s3://csc207swiftify/discography/Red/04. I Knew You Were Trouble (Taylor's Version).mp3","I Knew You Were Trouble (Taylor's Version)"
"7","Speak Now (Deluxe Edition)","403","2010","s3://csc207swiftify/discography/Speak Now/105-taylor_swift-dear_john.mp3","Dear John"
"115","Fearless (Taylor's Version)","279","2021","s3://csc207swiftify/discography/Fearless/13. Change (Taylor’s Version).mp3","Change (Taylor’s Version)"
"117","Fearless (Taylor's Version)","200","2021","s3://csc207swiftify/discography/Fearless/08. Tell Me Why (Taylor’s Version).mp3","Tell Me Why (Taylor’s Version)"
"47","Reputation","238","2017","s3://csc207swiftify/discography/Reputation/3 I Did Something Bad.mp3","I Did Something Bad"
"156","Red (Taylor's Version)","223","2021","s3://csc207swiftify/discography/Red/02. Red (Taylor's Version).mp3","Red (Taylor's Version)"
"122","Fearless (Taylor's Version)","234","2021","s3://csc207swiftify/discography/Fearless/05. White Horse (Taylor’s Version).mp3","White Horse (Taylor’s Version)"
"145","Red (Taylor's Version)","285","2021","s3://csc207swiftify/discography/Red/26. I Bet You Think About Me (Taylor's Version) (From The Vault).mp3","I Bet You Think About Me (Taylor's Version) (From The Vault)"
"130","Fearless (Taylor's Version)","189","2021","s3://csc207swiftify/discography/Fearless/24. That’s When (Taylor’s Version) (From The Vault).mp3","That’s When (Taylor’s Version) (From The Vault)"
"79","folklore","294","2020","s3://csc207swiftify/discography/Folklore/14 betty.mp3","betty"
"172","Midnights","202","2022","s3://csc207swiftify/discography/Midnights (Deluxe)/01. Lavender Haze.mp3","Lavender Haze"
"69","Lover","223","2019","s3://csc207swiftify/discography/Lover/15 - Afterglow.mp3","Afterglow"
"110","Fearless (Taylor's Version)","261","2021","s3://csc207swiftify/discography/Fearless/09. You’re Not Sorry (Taylor’s Version).mp3","You’re Not Sorry (Taylor’s Version)"
"8","Speak Now (Deluxe Edition)","240","2010","s3://csc207swiftify/discography/Speak Now/104-taylor_swift-speak_now.mp3","Speak Now"
"62","Lover","150","2019","s3://csc207swiftify/discography/Lover/17 - It’s Nice To Have A Friend.mp3","It’s Nice To Have A Friend"
"54","Reputation","203","2017","s3://csc207swiftify/discography/Reputation/14 Call It What You Want.mp3","Call It What You Want"
"75","folklore","234","2020","s3://csc207swiftify/discography/Folklore/15 peace.mp3","peace"
"163","Midnights","247","2022","s3://csc207swiftify/discography/Midnights (Deluxe)/10. Labyrinth.mp3","Labyrinth"
"89","folklore","208","2020","s3://csc207swiftify/discography/Folklore/06 mirrorball.mp3","mirrorball"
"32","1989 (Deluxe)","235","2014","s3://csc207swiftify/discography/1989 (Deluxe)/04 Out Of The Woods.mp3","Out Of The Woods"
"131","Fearless (Taylor's Version)","241","2021","s3://csc207swiftify/discography/Fearless/01. Fearless (Taylor’s Version).mp3","Fearless (Taylor’s Version)"
"113","Fearless (Taylor's Version)","238","2021","s3://csc207swiftify/discography/Fearless/19. The Other Side Of The Door (Taylor’s Version).mp3","The Other Side Of The Door (Taylor’s Version)"
"118","Fearless (Taylor's Version)","245","2021","s3://csc207swiftify/discography/Fearless/12. The Best Day (Taylor’s Version).mp3","The Best Day (Taylor’s Version)"
"153","Red (Taylor's Version)","613","2021","s3://csc207swiftify/discography/Red/30. All Too Well (10 Minute Version) (Taylor's Version) (From The Vault).mp3","All Too Well (10 Minute Version) (Taylor's Version) (From The Vault)"
